deeplink     ,uuid                                  ,marketing loc                                                                                                         ,docs loc                                                                                                                                                                                            ,xml src                                                                                                                                                                                              ,md src                                                                                                                
             ,61cb3ead-705e-45b7-a365-2c694d160d0a,https://marketing.adobe.com/resources/help/en_US/snp/c_about_design_menu.html                               ,https://docs.adobe.com/content/help/en/search-promote/using/design/c-about-facets.html,target-search-and-promote-master/src-migrate/c_about_design_menu.xml                                                                                                                                  ,help/c-about-design-menu/c-about-design-menu.md                                                            
             ,66d18842-739c-4817-95b4-85d5e98d3954,https://marketing.adobe.com/resources/help/en_US/snp/c_about_index.html,https://docs.adobe.com/content/help/en/search-promote/using/index/c-about-full-index.html,target-search-and-promote-master/src-migrate/c_about_index.xml                                                                                                                                        ,help/c-about-index/c-about-full-index.md
             ,9186f7d3-912c-409f-a2e3-331f7fd18ddd,https://marketing.adobe.com/resources/help/en_US/snp/c_about_index_menu.html,https://docs.adobe.com/content/help/en/search-promote/using/index/c-about-full-index.html,target-search-and-promote-master/src-migrate/c_about_index_menu.xml                                                                                                                                   ,help/c-about-index-menu/c-about-full-index.md                                                                                                               
             ,f5534418-17f6-4e34-8f4d-04064446fa81,https://marketing.adobe.com/resources/help/en_US/snp/c_about_linguistics_menu.html,https://docs.adobe.com/content/help/en/search-promote/using/linguistics/c-about-dictionaries.html,target-search-and-promote-master/src-migrate/c_about_linguistics_menu.xml                                                                                                                             ,help/c-about-linguistics-menu/c-about-dictionaries.md                                                                                                    
             ,1f563b6d-4c56-4ca5-b857-fc7544f291c4,https://marketing.adobe.com/resources/help/en_US/snp/c_about_rules_menu.html,https://docs.adobe.com/content/help/en/search-promote/using/rules/c-about-business-rules.html,target-search-and-promote-master/src-migrate/c_about_rules_menu.xml                                                                                                                                   ,help/c-about-rules-menu/c-about-business-rules.md                                                                                                                   
             ,edfb4e24-2989-42ce-a9f9-8f995c5b59e7,https://marketing.adobe.com/resources/help/en_US/snp/c_about_settings_menu.html,https://docs.adobe.com/content/help/en/search-promote/using/settings/c-about-crawling-menu.html,target-search-and-promote-master/src-migrate/c_about_settings_menu.xml                                                                                                                                ,help/c-about-settings-menu/c-about-crawling.md                                                                                                                     
             ,85b2d901-bf2e-4666-93d4-2032757ed44b,https://marketing.adobe.com/resources/help/en_US/snp/c_appendices.html,https://docs.adobe.com/content/help/en/search-promote/using/appendices/c-guidedsearchoutput.html,target-search-and-promote-master/src-migrate/c_appendices.xml                                                                                                                                         ,help/c-about-appendices-menu/c-about-guidedsearchoutput.md                                                                                                                     
             ,482d516d-e219-4869-b23e-1a3d20dd6a83,https://marketing.adobe.com/resources/help/en_US/snp/c_searchpromote_release_notes.html,https://docs.adobe.com/content/help/en/search-promote/using/sp-home.html,target-search-and-promote-master/src-migrate/c_searchpromote_release_notes.xml                                                                                                                        ,help/c-about-searchpromote-release-notes/sp-home.md                                                                                                                
             ,0f830033-de9e-4197-8d76-906c818662eb,https://marketing.adobe.com/resources/help/en_US/snp/c_about_account_options_menu.html                                ,https://docs.adobe.com/content/help/en/search-promote/using/settings/c-about-account-options-menu.html                                                                                                ,target-search-and-promote-master/src-migrate/c_about_account_options_menu.xml                                                                                                                         ,help/c-about-settings-menu/c-about-account-options-menu.md                                                            
             ,7cfc1b68-5126-484a-8a1d-54995a8fd19b,https://marketing.adobe.com/resources/help/en_US/snp/c_about_accounts_menu.html                                       ,https://docs.adobe.com/content/help/en/search-promote/using/c-about-accounts-menu.html                                                                                                                ,target-search-and-promote-master/src-migrate/c_about_accounts_menu.xml                                                                                                                                ,help/c-about-accounts-menu.md                                                                                         
             ,5536edf1-d3a4-47af-a307-6e46f385f738,https://marketing.adobe.com/resources/help/en_US/snp/c_about_adobe_analytics_menu.html                                ,https://docs.adobe.com/content/help/en/search-promote/using/settings/c-about-adobe-analytics-menu.html                                                                                                ,target-search-and-promote-master/src-migrate/c_about_adobe_analytics_menu.xml                                                                                                                         ,help/c-about-settings-menu/c-about-adobe-analytics-menu.md                                                            
x            ,5536edf1-d3a4-47af-a307-6e46f385f738,https://marketing.adobe.com/resources/help/en_US/snp/c_about_adobe_analytics_report_suites.html                       ,https://docs.adobe.com/content/help/en/search-promote/using/settings/c-about-adobe-analytics-menu.html#concept_1A51AEC5D40E459B813E7891D64B1BAE,c_about_adobe_analytics_report_suites.xml                                                                                                                                                             ,help/c-about-settings-menu/c-about-adobe-analytics-menu.md                                                            
